brand,category,description,gender,images,name,price,retailer,sizes,url
Nike,Footwear,Mens Footwear,"https://i8.amplience.net/i/jpl/jd_707948_a?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_a?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_a?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707948_b?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_b?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_b?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707948_c?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_c?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_c?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707948_d?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_d?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_d?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707948_e?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_e?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_e?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707948_f?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_f?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_f?qlt=92&w=1200&h=850&v=1&fmt=auto 3x",Nike Air Max 95,£175.00,JD Sport,https://www.jdsports.co.uk/product/grey-nike-air-max-95/19645973/
adidas,Footwear,Womens Footwear,"https://i8.amplience.net/i/jpl/jd_618705_a?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_a?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_a?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_618705_b?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_b?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_b?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_618705_c?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_c?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_c?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_618705_d?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_d?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_d?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_618705_e?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_e?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_e?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_618705_f?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_f?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_f?qlt=92&w=1200&h=850&v=1&fmt=auto 3x",adidas Originals Gazelle Indoor Women's,£95.00,JD Sport,https://www.jdsports.co.uk/product/blue-adidas-originals-gazelle-indoor-womens/17711989/
brand,category,gender,images,name,price,retailer,url
adidas,Footwear,Womens Footwear,"https://i8.amplience.net/i/jpl/jd_618705_a?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_a?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_a?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_618705_b?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_b?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_b?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_618705_c?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_c?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_c?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_618705_d?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_d?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_d?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_618705_e?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_e?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_e?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_618705_f?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_618705_f?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_618705_f?qlt=92&w=1200&h=850&v=1&fmt=auto 3x",adidas Originals Gazelle Indoor Women's,£95.00,JD Sport,https://www.jdsports.co.uk/product/blue-adidas-originals-gazelle-indoor-womens/17711989/
Nike,Footwear,Mens Footwear,"https://i8.amplience.net/i/jpl/jd_707948_a?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_a?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_a?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707948_b?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_b?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_b?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707948_c?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_c?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_c?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707948_d?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_d?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_d?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707948_e?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_e?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_e?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707948_f?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707948_f?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707948_f?qlt=92&w=1200&h=850&v=1&fmt=auto 3x",Nike Air Max 95,£175.00,JD Sport,https://www.jdsports.co.uk/product/grey-nike-air-max-95/19645973/
New,Footwear,Mens Footwear,"https://i8.amplience.net/i/jpl/jd_556914_a?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_556914_a?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_556914_a?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_556914_b?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_556914_b?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_556914_b?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_556914_c?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_556914_c?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_556914_c?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_556914_d?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_556914_d?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_556914_d?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_556914_e?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_556914_e?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_556914_e?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_556914_f?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_556914_f?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_556914_f?qlt=92&w=1200&h=850&v=1&fmt=auto 3x",New Balance 327,£110.00,JD Sport,https://www.jdsports.co.uk/product/black-new-balance-327/16552064/
New,Footwear,Mens Footwear,"https://i8.amplience.net/i/jpl/jd_707517_a?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707517_a?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707517_a?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707517_b?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707517_b?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707517_b?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707517_c?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707517_c?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707517_c?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707517_d?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707517_d?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707517_d?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707517_e?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707517_e?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707517_e?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_707517_f?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_707517_f?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_707517_f?qlt=92&w=1200&h=850&v=1&fmt=auto 3x",New Balance 2002R,£130.00,JD Sport,https://www.jdsports.co.uk/product/grey-new-balance-2002r/19646556/
The,Footwear,Mens Footwear,"https://i8.amplience.net/i/jpl/jd_695673_a?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_695673_a?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_695673_a?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_695673_b?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_695673_b?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_695673_b?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_695673_c?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_695673_c?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_695673_c?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_695673_d?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_695673_d?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_695673_d?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_695673_e?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_695673_e?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_695673_e?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_695673_f?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_695673_f?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_695673_f?qlt=92&w=1200&h=850&v=1&fmt=auto 3x",The North Face Base Camp Slides,£35.00,JD Sport,https://www.jdsports.co.ukNone
Birkenstock,Footwear,Mens Footwear,"https://i8.amplience.net/i/jpl/jd_692158_a?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_692158_a?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_692158_a?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_692158_b?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_692158_b?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_692158_b?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_692158_c?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_692158_c?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_692158_c?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_692158_d?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_692158_d?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_692158_d?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_692158_e?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_692158_e?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_692158_e?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_692158_f?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_692158_f?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_692158_f?qlt=92&w=1200&h=850&v=1&fmt=auto 3x",Birkenstock Boston,£130.00,JD Sport,https://www.jdsports.co.ukNone
On,Footwear,Mens Footwear,"https://i8.amplience.net/i/jpl/jd_709968_a?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_709968_a?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_709968_a?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_709968_b?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_709968_b?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_709968_b?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_709968_c?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_709968_c?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_709968_c?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_709968_d?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_709968_d?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_709968_d?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_709968_e?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_709968_e?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_709968_e?qlt=92&w=1200&h=850&v=1&fmt=auto 3x,https://i8.amplience.net/i/jpl/jd_709968_f?qlt=92&w=750&h=531&v=1&fmt=auto 1x,
                https://i8.amplience.net/i/jpl/jd_709968_f?qlt=92&w=950&h=673&v=1&fmt=auto 2x,
                https://i8.amplience.net/i/jpl/jd_709968_f?qlt=92&w=1200&h=850&v=1&fmt=auto 3x",On Running Cloudswift 3,£150.00,JD Sport,https://www.jdsports.co.uk/product/blue-on-running-cloudswift-3/19652067/
